234	301	60	90	100	60	80	0	0	0	0	0
7	301	14	33	96	9	10	0	0	0	0	0
269	301	44	59	22	32	-7	-2	-29	24	25	51
340	301	34	39	41	39	47	0	0	0	0	0
408	301	45	51	75	47	33	-14	-32	-61	-71	0
128	301	83	83	80	79	78	0	0	0	0	0
480	301	82	88	97	84	70	-90	-92	-74	0	32
223	301	2	1	58	51	-22	-26	-33	-32	-39	-41
93	301	91	88	88	0	0	0	0	0	0	0
485	301	8	-9	-40	19	10	53	21	4	56	25
339	301	67	90	84	34	19	-50	-62	-62	-63	-7
266	301	70	32	20	17	11	-50	-79	-81	-79	-88
554	301	62	65	64	64	64	64	0	0	0	0
448	301	100	99	100	99	64	0	0	-10	-87	0
437	301	2	79	54	79	0	43	-28	0	4	0
354	301	65	91	58	75	73	4	-27	18	34	6
284	301	100	0	100	-9	0	-100	-100	-100	-100	-100
222	301	0	1	2	1	0	1	2	2	2	2
280	301	79	79	86	21	33	-60	-73	-78	-71	-84
595	301	100	100	100	0	20	0	0	-90	0	0
219	301	79	78	72	76	68	4	9	1	11	7
476	301	100	100	100	100	100	0	-49	-51	-51	1
435	301	80	66	67	65	7	-26	-24	-47	-48	33
95	16	15	19	76	58	48	28	14	-39	-59	-41
350	16	66	97	100	100	94	-77	-83	-91	-85	13
46	16	0	23	23	9	54	0	0	26	0	0
389	16	-17	30	37	26	35	1	-37	-2	0	0
245	16	0	-4	79	72	58	0	-40	0	0	0
36	16	50	45	55	65	60	40	-15	-45	-70	10
7	16	0	0	100	70	0	0	0	0	0	0
593	16	0	-40	0	40	60	-69	0	0	0	0
160	16	0	0	0	0	0	0	0	0	0	0
379	16	81	74	84	85	87	0	0	0	0	0
196	16	1	19	59	53	28	-52	-61	-59	-65	-62
56	16	2	-21	24	33	33	-45	-87	-94	-95	-97
349	16	99	98	96	97	95	0	0	70	0	0
112	16	-23	0	46	23	34	35	-16	0	0	0
14	16	-18	-18	9	19	29	0	0	-12	0	0
149	16	25	22	0	18	0	0	-22	-64	-40	0
71	16	0	0	74	76	0	0	0	0	0	0
449	16	1	2	45	70	16	-97	-98	-98	-98	-98
472	16	0	10	50	30	0	0	0	0	0	0
285	16	-74	-34	-83	-77	-82	-21	-90	-28	-84	-47
82	16	20	-21	70	74	36	-23	-33	-45	-28	-40
65	16	0	0	80	55	0	0	0	0	0	0
347	16	0	0	57	26	53	0	0	0	0	0
169	16	0	0	45	76	0	10	0	0	6	0
26	16	7	34	14	-1	19	-33	17	27	-6	4
428	16	0	0	68	69	-7	0	-23	0	0	0
282	16	23	-69	-87	-94	-69	-96	-83	-90	-89	-94
219	16	25	37	95	91	62	-6	-9	-24	-26	-22
400	19	0	-100	-100	-100	-100	-100	-100	0	-100	-100
331	19	20	20	-40	0	30	0	10	30	-10	0
388	19	-73	-65	-68	-1	43	58	58	20	-12	23
571	19	0	-40	0	0	20	40	20	45	50	60
545	19	4	20	6	9	45	9	5	40	40	3
171	19	0	0	24	0	66	0	78	48	78	80
408	19	0	0	-20	19	38	3	-22	-35	-51	0
547	19	2	-42	10	-24	-55	-41	-5	-23	-31	8
93	19	0	40	0	25	0	-38	0	0	0	0
483	19	-40	0	-51	0	0	10	20	46	0	0
196	19	0	1	26	-14	-8	13	12	44	55	59
514	19	-89	-92	-88	-90	-89	-20	-15	-68	-19	-28
443	19	-57	-64	-33	-43	-26	-61	-29	-64	-39	-21
467	19	-20	0	5	0	0	20	0	0	0	0
414	19	14	19	78	59	84	20	37	-87	-80	-87
399	19	0	0	0	0	38	0	56	80	80	0
374	19	-100	-100	0	20	30	0	-100	-100	-100	-100
284	19	0	0	0	0	30	40	67	0	0	0
222	19	48	20	56	29	59	57	28	13	0	12
346	19	0	0	0	0	9	-18	-31	-24	-30	-33
488	19	0	0	0	0	0	100	100	100	0	100
553	19	10	35	0	0	25	0	0	0	0	10
334	19	0	0	0	0	0	28	14	63	22	-3
103	19	-11	-2	-25	0	7	65	-66	-74	-72	24
146	19	0	50	0	0	36	43	43	39	27	36
61	19	-43	-53	-91	-91	-28	-87	-52	84	81	55
521	19	-89	-87	-85	-82	-12	-60	-35	-89	-86	-82
261	37	0	0	10	40	10	0	0	-40	-70	-25
92	37	37	-95	88	94	18	-95	-97	-89	-90	-91
287	37	0	0	97	95	0	0	0	-98	-98	0
195	37	42	11	64	47	28	63	48	22	67	46
131	37	0	61	49	83	80	61	67	0	0	0
295	37	61	22	87	57	13	-99	-98	-98	-96	-95
314	37	-97	-97	17	39	31	-97	-98	-97	-98	-96
351	37	0	0	100	100	100	0	0	-100	-100	-100
173	37	20	20	80	90	50	0	0	-20	-40	-40
315	37	11	1	54	52	53	-1	0	0	0	0
19	37	40	51	61	25	40	-37	-27	-24	30	11
415	37	0	0	17	30	47	0	0	-59	-62	0
48	37	83	58	79	80	67	-59	-85	-88	-91	-89
41	37	64	54	53	90	63	52	52	-34	37	0
