1	91
1	330
1	45
1	366
1	227
1	36
1	7
1	558
1	149
1	358
1	182
1	54
1	329
1	107
1	14
1	140
1	68
1	422
1	444
1	266
1	78
1	62
1	327
1	157
1	26
1	401
1	263
1	202
2	377
2	311
2	365
2	537
2	512
2	159
2	384
2	514
2	89
2	455
2	182
2	485
2	416
2	439
2	389
2	376
2	353
2	265
2	205
2	326
2	460
2	520
2	314
2	98
2	138
2	59
2	491
3	242
3	88
3	268
3	181
3	123
3	276
3	294
3	331
3	161
3	295
3	19
3	390
3	46
3	40
3	339
3	183
3	550
3	192
3	43
3	125
3	460
3	198
3	511
3	17
3	171
3	445
3	259
3	371
4	203
4	234
4	8
4	561
4	442
4	206
4	346
4	56
4	496
4	354
4	530
4	182
4	100
4	523
4	380
4	101
4	169
4	538
4	420
4	153
4	369
4	171
4	138
4	230
4	23
4	296
5	499
5	403
5	350
5	510
5	71
5	44
5	370
5	435
5	335
5	251
5	142
5	213
5	384
5	165
5	333
5	496
5	402
5	536
5	439
5	380
5	303
5	144
5	168
5	105
5	436
5	296
6	150
6	154
6	299
6	61
6	432
6	127
6	443
6	558
6	19
6	318
6	214
6	63
6	527
6	496
6	379
6	483
6	247
6	54
6	131
6	424
6	352
6	444
6	133
6	15
6	498
7	262
7	284
7	234
7	494
7	268
7	318
7	271
7	279
7	468
7	390
7	528
7	438
7	107
7	58
7	410
7	84
7	68
7	481
7	144
7	78
7	67
7	157
7	450
7	98
7	412
7	341
8	262
8	499
8	242
8	233
8	154
8	61
8	321
8	88
8	355
8	227
8	464
8	289
8	532
8	529
8	375
8	206
8	562
8	471
8	524
8	224
8	422
8	542
8	400
8	486
8	419
8	560
8	185
8	478
8	465
9	504
9	236
9	188
9	309
9	251
9	549
9	66
9	24
9	302
9	387
9	165
9	346
9	21
9	349
9	530
9	482
9	297
9	411
9	329
9	362
9	556
9	208
9	419
9	67
9	15
9	156
10	109
10	50
10	356
10	382
10	335
10	102
10	563
10	290
10	256
10	514
10	51
10	527
