     1.000    -0.683    -0.599    -1.060    -2.321     0.234     0.531    -0.961    -2.644    -0.203    -0.550    -1.387    -2.664     1.414     1.602    -1.456    -1.216    -0.276    -0.273    -1.302    -2.517    -0.562    -0.879    -1.300    -2.120    -0.827    -0.615    -1.335    -2.413    -0.827    -0.148    -1.255    -3.677    -0.536    -0.051    -1.531    -0.234    -0.915    -0.999    -0.993
     2.000    -0.402    -0.749     0.541     0.771     0.985     0.618     0.555     0.761    -0.104    -0.124     0.449     0.643    -0.632    -0.420     0.389     0.114    -0.016    -0.243     0.545     0.836     0.988     0.935     0.644     1.407     0.185    -0.217     0.464     0.631     0.728     0.208     0.646     0.372     1.723     1.552     0.793     0.845    -0.055     0.268     0.559
     3.000    -1.091    -1.022    -0.485     0.030     1.613     1.835    -0.359     0.092    -0.297    -0.757    -0.760    -1.152     1.501     1.099    -0.836    -2.752    -0.867    -0.699    -0.710    -0.812     0.295    -0.017    -0.346     0.070    -1.146    -1.021    -0.573    -0.435     0.706     0.524     0.188     2.796     0.560     0.528    -0.251     0.159    -1.452    -1.346    -0.649
     4.000     1.213     1.429     0.010    -0.198    -2.104    -1.965     0.105    -0.173     0.347     0.526     0.055    -0.460    -1.970    -1.897    -0.052    -0.184     0.236     0.407     0.095    -0.159    -1.517    -1.313    -0.044    -0.489     0.640     0.857     0.065    -0.229    -0.337    -0.538     0.124    -0.394    -1.444    -1.704    -0.040    -0.598     0.857     0.810     0.028
     5.000     0.924     1.276     0.605     0.984    -1.686    -1.363     0.681     0.805     1.867     1.812     0.453    -0.181    -1.907    -1.998     0.808     0.636     1.569     1.654     0.570     0.339     0.428     0.897     0.558     0.067     1.099     1.415     0.418    -0.080     0.948     0.093     0.443     0.042    -1.172    -1.640     0.632    -0.416     2.090     2.237     0.718
     6.000    -2.085    -1.822    -0.439    -0.044    -0.307    -0.191    -0.377    -0.151    -2.258    -1.516    -0.526    -0.855     0.031     0.012    -0.423    -0.704    -2.141    -1.902    -0.442    -0.458    -1.724    -1.340    -0.317    -0.267    -1.936    -1.839    -0.433    -0.114    -1.334    -1.031    -0.247    -0.320     0.019     0.107    -0.238    -1.164    -1.837    -1.647    -0.281
     7.000    -0.891    -0.760     0.249     0.092     0.163     0.293     0.333     0.112    -0.264    -0.449    -0.264    -0.948     0.541     0.653     0.319     0.610    -0.370    -0.296     0.071    -0.192    -0.028    -0.161     0.096    -0.468    -0.509    -0.366    -0.107    -0.662    -0.182     0.117    -0.220    -0.557     0.515     0.538     0.385     0.420    -0.635    -0.512     0.264
     8.000     1.568     1.585     0.544     0.856    -0.582    -0.263     0.782     1.103     2.420     1.943     0.173    -0.832    -0.053    -0.318     0.272    -1.225     1.400     1.247     0.440     0.034     2.847     2.536     0.537     0.498     1.122     0.985     0.247    -0.390     2.710     2.659     0.611    -0.419    -0.548    -0.692     0.709     0.290     1.484     1.368     0.629
     9.000     0.925     1.506     0.565     0.784    -1.619    -1.994     0.466     0.280     0.399     0.804     0.086    -1.048    -1.037    -1.022     0.293    -1.316     0.603     0.751     0.318    -0.272     0.024    -0.066     0.367    -0.202     0.373     0.175     0.200    -0.326     0.781     0.640     0.602     0.124    -0.222    -0.453     0.769    -0.474    -0.704    -0.274     0.482
    10.000    -0.070     0.300     0.040     0.191     0.750     0.865     0.067    -0.150    -0.646    -0.725    -0.190     0.041     0.311    -0.230     0.028     0.130    -0.312    -0.061    -0.111    -0.256    -0.296    -0.145    -0.192    -1.000    -0.531    -0.293    -0.277    -0.744    -0.024    -0.681    -0.027     0.183     0.145    -0.232    -0.048    -0.123     0.066     0.159     0.011
