,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
160,-14,-14,-14,-2,-14,-12,-14,-14,-14,-14
161,0,0,0,0,0,0,0,0,0,0
162,-4,-4,-2,-2,-4,-4,-4,-4,-4,-4
163,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2
164,0,0,0,0,0,0,0,0,0,0
165,-3,-3,-3,-3,-3,-3,-3,-1,-3,-2
166,-4,-4,-2,-2,-4,-4,-4,-4,-4,-4
167,-6,-6,-6,-6,-6,-6,-6,-5,-3,-4
168,-3,-3,-3,-2,-3,-3,-3,-3,-1,-3
169,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0
171,-6,-6,-7,-6,-7,-7,-7,-5,-6,-6
172,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0
174,-3,-2,-3,-1,-3,-3,-3,-3,-3,-3
175,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2
176,-13,-13,-13,-7,-13,-13,-13,-11,-8,-13
177,-5,-3,-3,-4,-5,-5,-5,-5,-5,-5
178,-5,-6,-6,-6,-6,-1,-6,-6,-6,-6
179,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2
180,0,0,0,0,0,0,0,0,0,0
181,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
182,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2
183,-6,-6,-6,-3,-6,-5,-5,-6,-5,-6
184,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
185,-9,-9,-9,-9,-8,-7,-8,-8,-6,-8
186,-5,-5,-5,0,-5,-5,-5,-5,-5,-5
187,-3,-3,-3,0,-3,-3,-3,-3,-3,-3
188,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
189,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2
190,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
191,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
192,-3,-3,-3,-1,-3,-3,-3,-3,-3,-2
193,-18,-18,-18,-1,-17,-18,-18,-18,-18,-18
194,-7,-7,-6,-7,-7,-6,-7,-4,-5,-7
195,-4,-4,-4,-4,-4,-3,-4,-4,-4,-1
196,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
197,-3,-3,-3,0,-3,-3,-3,-3,-3,-3
198,-2,-2,-2,0,-2,-2,-2,-2,-2,-2
199,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0
201,-3,-3,-3,-1,-3,-3,-3,-3,-2,-3
202,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2
203,0,0,0,0,0,0,0,0,0,0
204,-4,-4,-4,-3,-4,-2,-4,-4,-3,-4
205,-5,-5,-5,-2,-5,-4,-5,-4,-5,-5
206,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
207,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
208,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
209,-3,-3,-3,-2,-3,-3,-3,-1,-3,-3
210,-6,-6,-5,-6,-5,-5,-6,-5,-6,-4
211,-2,-2,-2,-2,-2,-2,-2,0,-2,-2
212,-7,-7,-7,-2,-7,-7,-7,-7,-6,-6
213,-6,-6,-6,-2,-6,-5,-6,-5,-6,-6
214,0,0,0,0,0,0,0,0,0,0
215,-17,-17,-16,-16,-17,-17,-17,-4,-16,-16
216,-15,-12,-15,-13,-15,-11,-15,-13,-12,-14
217,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
218,-2,-4,-4,-3,-4,-3,-4,-4,-4,-4
219,-5,-5,-5,-5,-5,-1,-5,-5,-5,-4
220,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2
221,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2
222,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
223,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2
224,-3,-3,-3,-2,-3,-1,-3,-3,-3,-3
225,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
226,-6,-6,-6,0,-6,-6,-6,-6,-6,-6
227,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
228,-2,-2,-2,-2,-2,-2,-2,-2,0,-2
229,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
230,0,0,0,0,0,0,0,0,0,0
231,-5,-5,-3,-3,-5,-5,-5,-4,-5,-5
232,-10,-10,-10,-9,-10,-3,-10,-10,-8,-10
233,-5,-5,-5,-4,-5,-5,-5,-4,-4,-3
234,-5,-6,-6,-5,-3,-6,-6,-6,-6,-5
235,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
236,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2
237,-2,-2,-2,0,-2,-2,-2,-2,-2,-2
238,-2,-5,-5,-4,-5,-5,-5,-4,-5,-5
239,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1
240,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1
241,-5,-5,-5,0,-5,-5,-5,-5,-5,-5
242,-6,-6,-5,-3,-6,-5,-6,-5,-6,-6
243,-6,-6,-6,-3,-6,-5,-6,-6,-6,-4
244,-5,-5,-3,-5,-5,-5,-5,-3,-5,-4
245,-3,-3,-3,-2,-3,-2,-3,-3,-3,-2
246,-6,-6,-6,-5,-6,-5,-5,-5,-6,-4
247,-3,-3,-3,-1,-2,-3,-3,-3,-3,-3
248,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
249,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2
250,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2
251,-5,-5,-5,-1,-5,-5,-5,-5,-5,-4
252,-6,-7,-4,-6,-6,-7,-7,-7,-6,-7
253,-4,-3,-4,-2,-4,-4,-4,-4,-4,-3
254,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1
255,-3,-3,-3,-2,-3,-2,-3,-3,-3,-2
256,-4,-5,-5,-5,-5,-2,-5,-5,-4,-5
257,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2
258,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
