,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.8171866658,-0.5615983957,0.3077808413,-0.0641877034,0.1684056572,1.7568408127,-0.4150868178,-0.7926540779,0.0045238801,2.1519586580
1,0.5576335162,-0.1988690515,0.1767782666,0.1775025707,0.1687919223,1.3471310004,-0.1034093927,-0.2881906554,-0.0544434081,1.4160282680
2,0.5005978170,-0.3496395738,0.5990439454,-0.0218346174,0.1524812256,0.9229487877,-0.2749700293,-0.2796975947,-0.1024123392,1.3588359120
3,0.6153647113,-0.2502711571,0.2100042291,-0.0949202239,0.1121284925,0.7818597287,-0.2466939032,-0.2175801225,-0.1487445434,1.0731537615
4,0.8547043186,-0.4519985066,0.2656439446,-0.2310216957,0.0939868058,1.3279562322,-0.5154656855,-0.7627778924,0.0691485868,1.7849969890
5,0.6807621128,-0.2651738651,0.2981835656,0.0198103916,0.1664217942,1.2259655459,-0.3289404593,-0.4476889128,-0.0640144668,1.2921280349
6,0.8104705990,-0.2761790236,0.2985831227,-0.0841731578,0.1667448264,1.3138915765,-0.4412962125,-0.4296836497,-0.0272753039,1.5104955912
7,0.9825630575,-0.2335375997,0.4187005135,0.1370817107,0.2485014317,1.6839107191,-0.1797134468,-0.4199328284,0.1378647440,1.9495990050
8,0.8995845694,-0.4569061270,0.1058757197,0.1892756793,0.2075379991,1.4668517681,-0.2928246417,-0.5776283588,-0.1433540018,1.6143077986
9,0.6885143197,-0.4249066847,-0.0103500188,-0.3541012235,0.0733036794,1.0663255228,-0.5861692873,-0.6228255883,-0.0952164860,1.0054608162
10,0.9388537707,-0.4715403588,0.1783538442,-0.0507989669,0.1773432909,1.7204262455,-0.3220074789,-0.7056491334,-0.1144392568,1.9540742140
11,1.0480523521,-0.2347456624,0.3450028662,0.1542396274,0.2781045565,1.8410151634,-0.2718837562,-0.5115725123,0.1618094318,1.9331251736
12,0.9724135002,-0.2555963678,0.2210968957,-0.0055955136,0.2082439339,1.3412587204,-0.2166890015,-0.3580904253,-0.0028493675,1.5671142117
13,0.8086787342,-0.3319759465,0.3571435081,-0.0130831513,0.1743562635,1.2913525837,-0.3677210149,-0.4698764896,-0.0397214276,1.3263913227
14,0.9836783559,-0.4583083779,0.2457739931,0.0281069389,0.2463636494,1.7173928025,-0.3598147151,-0.3920364198,-0.0437535682,1.9805603371
15,0.8377567000,-0.2287246440,0.3751450034,0.0565408972,0.1871753272,1.2790334016,-0.2664112411,-0.3583720656,-0.0143363991,1.6988212442
16,0.9361438908,-0.3238208635,0.3020023779,0.0683264530,0.2086279120,1.6306688591,-0.4216382330,-0.6110601493,-0.0429651505,1.6860046912
17,0.6405271691,-0.3335703048,0.1762935610,-0.0906488576,0.1075686952,1.1206408723,-0.3958258351,-0.4924289181,-0.0973951489,1.3801483339
18,0.8404438092,-0.2526074386,0.6022286965,0.1252993400,0.2435998277,1.5716691830,-0.3390523959,-0.2706146530,0.0019121702,1.8723464442
19,0.9127084230,-0.6028821231,0.2769799284,0.0188171863,0.1698715063,1.5638897410,-0.4843223342,-0.4938039627,-0.1967948602,1.7401464417
