,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.1106740778,-0.1077083709,0.0497201347,-0.0668261694,0.0219086193,0.2790029543,-0.0955938133,-0.1148160396,-0.0174699717,0.3506383811
1,0.1550749545,-0.0669747081,0.0643938838,-0.0282114696,0.0323911737,0.3148831872,-0.0775565596,-0.0944550625,0.0024380637,0.2765887480
2,0.1409231579,-0.0829422287,0.0944995770,-0.0368949881,0.0305681667,0.2479510014,-0.0513687775,-0.0893287667,-0.0477976765,0.3007490130
3,0.1504708508,-0.0637636820,0.0558326732,-0.0238305315,0.0244384448,0.1950035053,-0.0587576016,-0.0807270516,-0.0243041398,0.2247146686
4,0.1580632317,-0.0935564781,0.0166157044,-0.0679383045,0.0087976102,0.2132076967,-0.1548922591,-0.1052021713,-0.0407232816,0.3185967057
5,0.1856044003,-0.0684711014,0.0759579315,-0.0194000916,0.0344559837,0.3015240274,-0.0967596295,-0.1148309489,-0.0317207923,0.3225011665
6,0.1713669311,-0.0824409217,0.0457351364,-0.0398196995,0.0262948568,0.2774939727,-0.1093178917,-0.0973050332,-0.0258426821,0.3168814536
7,0.2131866606,-0.0505804994,0.0913152260,-0.0013856943,0.0431161223,0.3492995157,-0.0757586394,-0.1067520612,-0.0320662179,0.3999155569
8,0.1248452702,-0.0771741043,0.0318535546,-0.0305235588,0.0210056060,0.2623334724,-0.1144688065,-0.1068875415,-0.0799371385,0.2303153268
9,0.1087627819,-0.0590877826,0.0068798804,-0.0657276670,0.0126961751,0.1701675810,-0.0946554758,-0.1010245571,-0.0575368085,0.2308011472
10,0.1668325915,-0.0942566186,0.0370873144,-0.0339798768,0.0265167893,0.2895864601,-0.0930153957,-0.1255568247,-0.0506123783,0.3428109199
11,0.2089669373,-0.0576260604,0.0852282675,0.0024435782,0.0456338227,0.3521727115,-0.1038424079,-0.1231031691,-0.0251327685,0.3723144824
12,0.1870348945,-0.0440344980,0.0618943457,0.0010960800,0.0331105176,0.2898033092,-0.0628531686,-0.0958731538,-0.0391088838,0.3373180126
13,0.1810410715,-0.0736233042,0.0768962915,-0.0091008185,0.0369733892,0.3102972997,-0.0704012086,-0.1208184573,-0.0155630561,0.3622781964
14,0.1596725655,-0.0832865256,0.0703653150,-0.0195712322,0.0358008712,0.3249363942,-0.0998691823,-0.1188885370,-0.0590088841,0.3613768674
15,0.1744042735,-0.0660856750,0.0851524043,-0.0247585244,0.0357562315,0.2752490461,-0.1021375752,-0.0998575915,-0.0295271937,0.3839945547
16,0.1987860055,-0.0848508430,0.0695596896,-0.0155162980,0.0372123861,0.3500939842,-0.1113306395,-0.1346499916,-0.0506435888,0.3775663774
17,0.1623470633,-0.0705926463,0.0428863068,-0.0482706893,0.0235191662,0.2596172455,-0.1167238896,-0.1097980997,-0.0270800330,0.3115579703
