,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.1122802469,-0.1065805209,0.0477011239,-0.0518211568,0.0178502818,0.2889028736,-0.1080929927,-0.1410491019,-0.0226464523,0.3205510621
1,0.1506101277,-0.0844275401,0.0332405486,-0.0881134003,0.0249264969,0.2871869989,-0.0329614052,-0.1033987861,-0.0147560432,0.2648441997
2,0.1184031301,-0.0834458548,0.0858839367,-0.0566255975,0.0236070310,0.2363179949,-0.0771291962,-0.1151455746,-0.0352318368,0.2893113223
3,0.1296110843,-0.0717564393,0.0633627424,-0.0435818466,0.0205174467,0.1962124581,-0.0813927474,-0.0906266736,-0.0427724598,0.1983127287
4,0.1647472355,-0.1058027918,0.0598590719,-0.0727432924,0.0041293307,0.2246139296,-0.1801504425,-0.1169862735,-0.0607729002,0.2763771920
5,0.1619522422,-0.0759200702,0.0677029244,-0.0428766071,0.0282396928,0.2766090137,-0.1100663278,-0.1302066871,-0.0354120664,0.3161876001
6,0.1548409932,-0.0916960352,0.0421394132,-0.0564567769,0.0211158073,0.2693681186,-0.1316520437,-0.1191924005,-0.0426139095,0.3120832484
7,0.1933185315,-0.0703473611,0.0718279438,-0.0038241111,0.0361284735,0.3342718780,-0.0987224377,-0.1298623818,-0.0260736876,0.3832154470
8,0.1177697560,-0.0911375289,0.0136481316,-0.0514027182,0.0175247512,0.2596043366,-0.1071588661,-0.1178940625,-0.0832563755,0.2142406418
9,0.1225574354,-0.0680509379,0.0138388537,-0.0474529953,0.0068241873,0.1869179193,-0.1079952578,-0.1082970871,-0.0581606718,0.2153900882
10,0.1528677588,-0.1103732256,0.0182399103,-0.0373639708,0.0200526703,0.2907861058,-0.0989273017,-0.1406736403,-0.0501135847,0.3286329665
11,0.1753546637,-0.0779564053,0.0530005259,-0.0094422816,0.0372478270,0.3393045077,-0.1214915065,-0.1410821863,-0.0263936665,0.3460302237
12,0.1768101421,-0.0505542315,0.0429209488,-0.0306787876,0.0279652712,0.2573047141,-0.0978574786,-0.1168737027,-0.0339731955,0.3366028970
13,0.1612978273,-0.0886250912,0.0630880906,-0.0366130720,0.0298374451,0.2983759905,-0.0941529856,-0.1356636726,-0.0262374460,0.3633868902
14,0.1438293422,-0.0990140446,0.0448054054,-0.0183549688,0.0305537240,0.3039712787,-0.1419104236,-0.1306396659,-0.0520670362,0.3456851751
15,0.1532581749,-0.0805321799,0.0704777601,-0.0368431160,0.0285172481,0.2740030310,-0.1233741895,-0.1212000112,-0.0278457935,0.3588937738
16,0.1714559363,-0.0951701990,0.0505806655,-0.0321766795,0.0285930776,0.3335411171,-0.1394230571,-0.1566980483,-0.0570239900,0.3552837485
17,0.1351038314,-0.0949258879,0.0256813312,-0.0474143086,0.0174103373,0.2506454788,-0.1112156786,-0.1292071846,-0.0270498248,0.2852278015
18,0.1680595052,-0.0813916942,0.0915454944,-0.0093428598,0.0358072141,0.3156778265,-0.0976034248,-0.1078087898,-0.0336124709,0.3479831613
19,0.1553992512,-0.1044295532,0.0400815919,-0.0269889983,0.0213763864,0.2867755043,-0.1143981078,-0.1333691182,-0.0598911240,0.3235166091
20,0.1491047471,-0.1140659933,0.0547313863,-0.0653010130,0.0116472477,0.2532052518,-0.1347814429,-0.1550886766,-0.0623595740,0.2849666909
21,0.0986512375,-0.1081482694,0.0106944936,-0.0689100399,0.0021731115,0.2163734450,-0.1337590735,-0.1102444869,-0.0770458539,0.2542602724
22,0.1549483471,-0.0897146996,0.0460316422,-0.0442368808,0.0204040328,0.2842856491,-0.1362599757,-0.1285409929,-0.0343636895,0.3078098404
23,0.1733084261,-0.0976795830,0.0549466579,-0.0086260525,0.0302607554,0.3318218199,-0.1172437079,-0.1256006614,-0.0180985057,0.3619684114
24,0.1093810586,-0.1001409911,0.0350624725,-0.0325559462,0.0236781783,0.2334513511,-0.0363690480,-0.0951257173,0.0000698163,0.2461644703
25,0.1704175697,-0.0950365319,0.0545498067,0.0012285202,0.0225440469,0.3082305834,-0.1453381901,-0.1627254365,-0.0678355938,0.3472924428
26,0.0819260075,-0.0713342647,0.0478907965,-0.0424634159,0.0154510184,0.1732470978,-0.0690824002,-0.1027230051,-0.0245792735,0.2448846988
27,0.0820446305,-0.0747627310,0.1104727632,-0.0539814002,0.0182280878,0.2778777081,-0.0210219591,-0.1321618287,-0.0069023437,0.3416265175
28,0.1162596622,-0.0613744660,0.0752296524,-0.0255119727,0.0273182128,0.2251228335,-0.0800336417,-0.0779260482,-0.0328986038,0.2891402317
29,0.1433919797,-0.1114953415,0.0783669632,-0.0697235286,0.0228553699,0.3105439699,-0.1427828754,-0.1328998616,-0.0189042471,0.3350288564
30,0.1665652043,-0.1023645879,0.0425534196,-0.0279049361,0.0295562406,0.3073930695,-0.1261901234,-0.1351286363,-0.0400552814,0.3571855206
31,0.1363706178,-0.0933991910,0.0176789652,-0.0547608573,0.0169731721,0.2367933958,-0.1283291377,-0.1372894803,-0.0464643189,0.3055431484
32,0.0760653104,-0.0869898549,-0.0080069772,-0.1065485064,-0.0086434297,0.2961513854,-0.1584508364,-0.1396259019,-0.0864645249,0.2659046737
33,0.1835799154,-0.0473266831,0.0703492640,0.0068725307,0.0427591173,0.3029198686,-0.0386349681,-0.0653923867,0.0271239127,0.6059820067
34,0.1067570501,-0.0737675558,0.0388667345,-0.0522862199,0.0187152482,0.2049823763,-0.0540782216,-0.1071156920,-0.0609609769,0.2275048936
35,0.1667362578,-0.1030670889,0.0457959291,-0.0369424312,0.0219318938,0.2632941875,-0.1257819003,-0.1441560213,-0.0293553920,0.3190349564
36,0.1546050322,-0.0894546536,0.0448765648,-0.0495428630,0.0219119119,0.2674601242,-0.1093946598,-0.1229937782,-0.0080419984,0.3243299041
37,0.1745515173,-0.0915119644,0.0440378306,0.0045567712,0.0264640382,0.2844844947,-0.0499843040,-0.1088291430,-0.0067496073,0.2692146596
38,0.1666859836,-0.0992415001,0.0718544115,-0.0277366527,0.0323238507,0.2998020986,-0.1017647354,-0.1226450531,-0.0435208561,0.3857417763
39,0.1698364920,-0.1160306547,0.0479243219,-0.0693411751,0.0203924213,0.2923713023,-0.1437144812,-0.1363853952,-0.0536062263,0.3435344463
40,0.1158854633,-0.0851642407,0.0593570063,-0.0808802496,0.0243574224,0.2769475975,-0.1141924179,-0.1221729208,-0.0548822722,0.3230579310
41,0.1379661713,-0.0702075343,0.0732493793,-0.0194109488,0.0268180416,0.2497556493,-0.0849262652,-0.0956642378,-0.0167285465,0.2516065087
42,0.1612543264,-0.0775564490,0.0792625893,-0.0095383787,0.0355150964,0.3185800344,-0.0902719763,-0.1219988574,-0.0125828014,0.3629210635
43,0.1474649644,-0.0838719330,0.0556794437,-0.0149081599,0.0279799246,0.2545176435,-0.0838045711,-0.1180803421,-0.0502298172,0.2718972205
44,0.0989084327,-0.0872787186,-0.0183757374,-0.0482816954,0.0056191480,0.2432299304,-0.1113362300,-0.1139367130,-0.0416886773,0.2658264553
45,0.1487538438,-0.1028618686,0.0108019464,-0.0421315214,0.0106598315,0.1915370968,-0.1122657159,-0.1121963650,-0.0527372638,0.2786982257
46,0.1619642296,-0.0971007836,0.0596802608,-0.0447611228,0.0293702347,0.3149353969,-0.1355793150,-0.1469081430,-0.0370059596,0.3152968548
47,0.1522873998,-0.0776907343,0.0515846177,-0.0351214443,0.0227577387,0.2493391374,-0.1170293478,-0.0962126837,-0.0421156326,0.3119241409
48,0.1537865920,-0.0741336817,0.0482614400,-0.0527436934,0.0268836501,0.2566227243,-0.1198689375,-0.1111935122,-0.0365614966,0.3099637708
49,0.1391099309,-0.0915286362,0.0047492476,-0.0577861160,0.0136668915,0.2578095861,-0.1112329371,-0.1279429594,-0.0558322472,0.2643082454
50,0.1647718556,-0.0893826137,0.0483072015,-0.0367671479,0.0246194112,0.2480173179,-0.0789072471,-0.1254770129,-0.0231584251,0.3141651344
51,0.1893430202,-0.0307324841,0.0372999989,-0.0325464899,0.0322161268,0.3099905053,-0.1097896420,-0.1632835960,-0.0600078402,0.3464203670
52,0.1327998150,-0.0847850092,0.0533681150,-0.0059975879,0.0294548018,0.2700833431,-0.1108669099,-0.1272885676,-0.0128534176,0.3058873215
53,0.1281634567,-0.0925952715,0.0384898109,-0.0487009891,0.0235773356,0.2730501715,-0.1287678894,-0.1109814916,-0.0464370295,0.3152360171
54,0.0663499324,-0.0370733971,0.0001395394,-0.0527164930,0.0004966891,0.1541153376,-0.0744708448,-0.1087304801,-0.0413419190,0.2060432049
55,0.1138512304,-0.0809600854,0.0546556019,-0.0637757469,0.0145911415,0.2173244993,-0.1215462887,-0.1027274045,-0.0405382074,0.2626360015
56,0.0761311131,-0.0715181703,0.0349570680,-0.0529497345,0.0119018691,0.1763309590,-0.0893984455,-0.0853677553,-0.0678289815,0.2126537775
57,0.1609267915,-0.1169724721,0.0372614410,-0.0838700394,0.0275193801,0.3087526754,-0.0927751825,-0.1559981877,-0.0383881898,0.3509625864
58,0.0474820084,-0.0599073770,0.0007212114,-0.0804033530,0.0020265126,0.2077693468,-0.0637244923,-0.0531981414,-0.0438674974,0.2752258707
59,0.0909894761,-0.0588958839,0.0074921329,-0.0408679052,0.0036496208,0.2024903258,-0.0863002088,-0.1134303393,-0.0488294239,0.1378613832
60,0.1704291743,-0.0956074639,0.0415933853,-0.0349971056,0.0288211799,0.3115746479,-0.1182726206,-0.1335843344,-0.0344205742,0.3419583992
61,0.1404692014,-0.0615526059,0.0642368609,-0.0219631128,0.0288559871,0.2663820293,-0.0594387879,-0.1054836002,-0.0295303046,0.3201032474
62,0.1109602980,-0.0775092927,0.0338728633,-0.1012139471,0.0148589716,0.2002647506,-0.1651260680,-0.1127096216,-0.0517494905,0.2564491992
63,0.1398995949,-0.0614746220,0.0698425610,-0.0144943279,0.0329135746,0.2733518304,-0.0880592163,-0.1086830654,-0.0287174187,0.3218733154
64,0.0754764056,-0.0995267405,0.0537726386,-0.0911979761,0.0144852552,0.2387721955,-0.0819495940,-0.1362306048,-0.0289885680,0.2522188543
65,0.1495375735,-0.0920305717,0.0670607817,-0.0457919498,0.0273572901,0.2769552753,-0.0982821306,-0.1265833215,-0.0401977879,0.3353865939
66,0.1480234145,-0.0759878131,0.0530626405,-0.0596021787,0.0223965630,0.2298884758,-0.0903874326,-0.1228936687,-0.0316936036,0.2728104427
67,0.1813726160,-0.0895286713,0.0502992664,-0.0311082793,0.0292771216,0.3238755743,-0.1050609937,-0.1380235627,-0.0469768806,0.3364300909
68,0.0849826983,-0.1178172745,0.0023347580,-0.0773992288,0.0082258443,0.3008452249,-0.1119277949,-0.1316590202,-0.0564090131,0.2711798176
69,0.1195161765,-0.1011126873,0.0934485125,-0.0453975555,0.0256247946,0.2686889289,-0.0744030641,-0.1046473499,-0.0108579627,0.2823288563
