,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.1266127201,-0.0936542657,0.0437268397,-0.0576694478,0.0187172369,0.2697969248,-0.0947212543,-0.1055892880,-0.0079237622,0.3462086445
1,0.1473128601,-0.0692889544,0.0494752758,-0.0605758351,0.0277104816,0.2965525100,-0.0344203839,-0.0857081831,-0.0284660952,0.2661102233
2,0.0999779361,-0.0715386047,0.0862561767,-0.0416110335,0.0248495380,0.2219267309,-0.0709772056,-0.0792657006,-0.0379123837,0.2866156245
3,0.1230647980,-0.0492344515,0.0704393431,-0.0315023580,0.0208597700,0.1764204475,-0.0635750245,-0.0650341675,-0.0215831229,0.2086998234
4,0.1573616828,-0.0703266455,0.0327388692,-0.0902568145,0.0066100291,0.1926291341,-0.1355538621,-0.0996742582,-0.0511275465,0.2844760144
5,0.1636617423,-0.0695247310,0.0652217207,-0.0353621573,0.0298535110,0.2778065342,-0.0978004784,-0.1020929365,-0.0240106286,0.3143141332
6,0.1533160383,-0.0730768245,0.0411084200,-0.0541158448,0.0232836912,0.2655724448,-0.1162596528,-0.0972763352,-0.0222341613,0.3152807578
7,0.1913887840,-0.0457584151,0.0790433347,-0.0134637433,0.0375375343,0.3242440477,-0.0812314235,-0.1080875789,-0.0304049622,0.3827056328
8,0.1186642159,-0.0619283835,0.0221484501,-0.0317711844,0.0190883935,0.2597647680,-0.0867510958,-0.1052091177,-0.0677227517,0.2224324043
9,0.1044463469,-0.0553797778,0.0138559153,-0.0684467432,0.0106329388,0.1646100070,-0.0846367128,-0.0940300036,-0.0368350969,0.2079707880
10,0.1553518959,-0.0904660361,0.0289445068,-0.0428797587,0.0217312016,0.2783410031,-0.0941462975,-0.1166126909,-0.0362593282,0.3318094514
11,0.1833097500,-0.0640728654,0.0687401550,-0.0074436243,0.0406904225,0.3352596418,-0.1019329123,-0.1141032087,-0.0200769530,0.3620132743
12,0.1862953591,-0.0406881013,0.0457966473,-0.0232384625,0.0298944315,0.2654590865,-0.0806843579,-0.0937588471,-0.0151204029,0.3191212130
13,0.1630313376,-0.0681725509,0.0654053057,-0.0369660839,0.0313401711,0.2974748493,-0.0811646356,-0.1021815870,-0.0115913855,0.3450841991
14,0.1542277283,-0.0842400130,0.0513085923,-0.0185109891,0.0317048390,0.3124361654,-0.0926506976,-0.1096440049,-0.0420419343,0.3474920697
15,0.1550329335,-0.0557377290,0.0765588230,-0.0389937002,0.0307317037,0.2663638460,-0.1082147507,-0.0890349211,-0.0221743872,0.3579257531
16,0.1838070505,-0.0767200220,0.0628833803,-0.0329667057,0.0316459935,0.3311690766,-0.1171542753,-0.1310565848,-0.0397256199,0.3544547500
17,0.1403097323,-0.0722147785,0.0409045910,-0.0501883061,0.0191819032,0.2412269052,-0.1107325441,-0.1052065560,-0.0204320086,0.3005960959
18,0.1702176715,-0.0694470674,0.0922465792,0.0050858324,0.0380812381,0.3071955875,-0.0836246769,-0.0766885425,-0.0248680033,0.3512344365
19,0.1547397737,-0.0930914683,0.0410320669,-0.0356851834,0.0233516209,0.2668161824,-0.1166229174,-0.1070138254,-0.0481561673,0.3291024984
20,0.1361483833,-0.0804909668,0.0596706989,-0.0564066842,0.0104167999,0.2434742975,-0.1250250024,-0.1242908337,-0.0627241386,0.2884582299
21,0.0959919509,-0.0900455682,0.0108195299,-0.0753695829,0.0033758714,0.2181921748,-0.1016233697,-0.0894966829,-0.0539656757,0.2496219906
22,0.1587195419,-0.0704674591,0.0468642141,-0.0427009710,0.0221019752,0.2878619608,-0.1187957195,-0.1042003342,-0.0211506896,0.3116759698
