,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.3678203700,-0.5682530624,0.1618089925,-0.3361216756,0.0740322055,1.2857373024,-0.4801066978,-0.5297753459,-0.1120820227,1.5595816328
1,0.4647373479,-0.1008910741,0.1018863767,-0.0231613593,0.1002730906,1.0126523650,-0.1960293442,-0.2336758345,-0.0642366952,0.8882411729
2,0.3972800659,-0.2937325079,0.3380179943,-0.0882515757,0.0944494354,0.8186272770,-0.1177759512,-0.2470865659,-0.2335886184,0.9585305032
3,0.5091893803,-0.2837223008,0.1211514936,-0.0928101698,0.0566239446,0.6588109324,-0.2203809428,-0.2717258392,-0.1880957252,0.6393158175
4,0.6101430896,-0.4025465291,0.0552800047,-0.2753365426,0.0325024681,0.8680067752,-0.6169745086,-0.4043047660,-0.1362070553,1.3319396148
5,0.5708049969,-0.2415752754,0.2068757668,-0.0344612279,0.0959660531,0.9319352812,-0.3039003722,-0.3744431507,-0.1441287821,0.9593146050
6,0.5601459357,-0.2602492801,0.1050318125,-0.1208933772,0.0829270293,0.9052219670,-0.3597590950,-0.3247388493,-0.0651308579,1.0287039221
7,0.7558878291,-0.2158975071,0.2928564298,-0.0069854899,0.1457362613,1.2544460360,-0.2615937238,-0.3914631327,-0.1288315265,1.4424960931
8,0.5490556392,-0.4430913520,0.1172079540,-0.1107719303,0.0733847005,1.2328981825,-0.6155817125,-0.5283896597,-0.4556713163,0.9533493627
9,0.3801766179,-0.1991559164,-0.0730303206,-0.3213935453,0.0344162702,0.5340693409,-0.4377117935,-0.4489708911,-0.2791253107,0.9067736421
10,0.6919144215,-0.4509680978,0.0926823819,-0.1590602005,0.1009690770,1.2044482910,-0.4033180707,-0.5581580642,-0.2683868261,1.4825263738
11,0.7797207824,-0.2171604689,0.3177004392,0.0237466755,0.1716380142,1.3753860787,-0.4267543324,-0.4886053276,-0.0995897210,1.4128251664
12,0.6391730440,-0.1609100593,0.1533237798,0.0437134704,0.1036245923,0.9496682196,-0.2399655596,-0.3420121241,-0.1716431743,1.2069208498
13,0.5442178000,-0.2495853348,0.2178534539,-0.0018000434,0.1062225218,0.9988893125,-0.2356507893,-0.3792044453,-0.0760925584,1.1266560188
14,0.6458216193,-0.3766655654,0.2610615296,-0.0770390758,0.1401390265,1.3080121241,-0.4312348197,-0.4817387935,-0.2886338634,1.4435743012
15,0.5711923064,-0.2582972412,0.2457851154,-0.0857639540,0.1052771841,0.8699975099,-0.3817950179,-0.3346073866,-0.1413909475,1.3056533424
16,0.6652415666,-0.3333217363,0.1899842779,-0.0410247726,0.1177430962,1.2371304587,-0.4218007050,-0.4930158022,-0.2040500582,1.3006106299
17,0.5045925043,-0.2763054784,0.0781559085,-0.1765388303,0.0668891031,0.9055374709,-0.4267309198,-0.3970306277,-0.1799911118,1.0043706627
18,0.7104373607,-0.2676557871,0.4393588272,0.0343564242,0.1409562512,1.1960027681,-0.3087940857,-0.3187164895,-0.1651964851,1.3706359841
19,0.6367317197,-0.4832470004,0.2074870904,-0.0815826018,0.0970614537,1.1847721213,-0.3848656275,-0.5334476198,-0.3084815957,1.2998369123
20,0.6910713815,-0.4668937765,0.1149793759,-0.2229965308,0.0540624966,1.1592227055,-0.5609864133,-0.5544651352,-0.3426902874,1.2353776741
21,0.4871804956,-0.5080910537,0.0227674643,-0.3188844136,0.0278477320,0.9042232318,-0.4472728619,-0.4368993565,-0.2467587680,1.1521159397
22,0.6249145830,-0.3456918640,0.1579507288,-0.1146817218,0.0887634562,1.0334928698,-0.4819174602,-0.4545781757,-0.1710547781,1.1889099229
23,0.6709761737,-0.2949865287,0.2130433345,0.0869833750,0.1265040759,1.2512783700,-0.3817694876,-0.4174505720,-0.1195998486,1.3735027334
24,0.4258765471,-0.4114601846,0.1435390927,-0.0910149570,0.0858612317,0.6428966319,0.0046032012,-0.2777450835,-0.0343005886,1.0430079153
25,0.8449138644,-0.3672035319,0.0835426963,-0.0268186489,0.1170339948,1.4432572384,-0.5634379847,-0.6180105725,-0.3066247994,1.5595653062
26,0.1615760096,-0.1783159769,0.1226233794,-0.1244369799,0.0436457918,0.4378502027,-0.3646499019,-0.2358772371,-0.0935266303,0.6269565440
27,0.3963244183,-0.1904361023,0.3518453962,-0.1332289132,0.0782539566,1.0028726184,-0.1205667496,-0.3889615629,-0.0073665423,1.2451531652
28,0.2866288463,-0.1367219978,0.2073823221,-0.0054595301,0.0652636217,0.5780852497,-0.1651249747,-0.1441875434,-0.0999454882,0.6850766201
29,0.4661009621,-0.3729541658,0.2029095369,-0.0845058949,0.0959906017,1.0492235982,-0.3782104069,-0.4089767916,-0.1033641962,1.0986631719
30,0.5884806237,-0.3659290636,0.1391464525,-0.0670565967,0.1204414921,1.1653529379,-0.4180244836,-0.4348301804,-0.1649018358,1.2873268634
31,0.5274834051,-0.3786851041,0.0897261895,-0.2518347526,0.0610857462,0.8362700302,-0.5024497568,-0.4599879590,-0.2187145720,1.1483680556
32,0.3233940670,-0.1347720985,0.0364472242,-0.1751508164,-0.0052720742,0.7511472105,-0.4919164620,-0.3843187572,-0.3043785749,0.8355362844
33,0.7634289330,-0.1532545988,0.2745380833,0.1075759916,0.1622324639,1.1566746200,-0.0467422545,-0.0858169864,0.1054002680,2.3342375601
34,0.4314428143,-0.3515040705,0.1325339432,0.0269301885,0.0842223859,0.7548044459,-0.2805871227,-0.3378409974,-0.2035808156,0.8453506638
35,0.7854303878,-0.4741563915,0.2065805635,-0.2481581629,0.0937877446,1.0847665104,-0.6367768686,-0.5312572507,-0.2755257016,1.5460829007
36,0.6493631424,-0.2966711149,0.2258776499,-0.0866556288,0.0985085633,0.9727745922,-0.3843573487,-0.4069184865,-0.0801402713,1.2266303761
37,0.8255655673,-0.3253891851,0.3000404689,0.1231983855,0.1487854310,1.2579372339,-0.2256860677,-0.3906518429,-0.0306192796,1.1818848125
38,0.5908998853,-0.3467103102,0.2267358769,-0.0441512532,0.1125851235,1.0583655863,-0.2739789281,-0.3182346453,-0.1935845542,1.3186977271
39,0.6772946243,-0.4398489063,0.2246952058,-0.1498701970,0.0877091996,1.0648930098,-0.4111914466,-0.4336869356,-0.2033531908,1.2622223164
40,0.4557898203,-0.2775826359,0.2248003568,-0.1493055428,0.0894334253,1.0235950158,-0.2728557892,-0.3661339244,-0.2341998194,1.0802538413
41,0.5777827827,-0.2078900050,0.3015763959,0.0513563113,0.1265336303,0.9349193056,-0.1483477707,-0.2325870549,-0.0829357487,1.0943952849
42,0.6213631585,-0.2381402090,0.2850901835,0.0359020980,0.1367068032,1.1373869966,-0.2349444068,-0.3523595253,-0.0865606598,1.3135979936
43,0.6714000397,-0.2562656913,0.2330484196,0.0680131916,0.1282773383,1.0136682981,-0.2381220341,-0.3829683801,-0.1666450807,1.1087470286
44,0.3801298300,-0.2341910296,-0.0437846254,-0.3151808720,0.0522290859,1.1444548445,-0.2727181900,-0.2969368116,-0.1181444492,1.2310499800
45,0.5940675036,-0.4752069481,-0.2199546309,-0.1686538023,0.0397623250,1.0104327691,-0.5072894130,-0.4549507460,-0.2717201628,1.1439449764
46,0.6383384082,-0.3341814962,0.2586898134,-0.0772702240,0.1409039542,1.2575623803,-0.4907065029,-0.5168680704,-0.1158238266,1.3494371001
47,0.4643441645,-0.2437916986,0.2387120464,-0.0357439818,0.0825528428,0.9048450390,-0.3405079909,-0.3096495694,-0.1858008151,1.0808490571
48,0.4667043836,-0.2272770698,0.1310726050,-0.0979779477,0.0878987902,0.6958708630,-0.3324672171,-0.2849848424,-0.1279986631,0.8966379752
49,0.5077184135,-0.3669708206,-0.0846660710,-0.2871652198,0.0471511489,0.9931494508,-0.4884438018,-0.5090740002,-0.3172796126,1.0085613178
50,0.6532981667,-0.3753251849,0.0889477748,-0.1510051088,0.0884168797,0.9007246353,-0.2704416546,-0.4155293414,-0.1086031870,1.2061962681
51,0.9069077307,-0.0538954954,0.1403153081,-0.1229175743,0.1544952564,1.1391938004,-0.3302787639,-0.5613914950,-0.3698811886,1.4568003134
52,0.5182323379,-0.3341293740,0.2535476232,-0.0919062360,0.1207404332,1.0030520670,-0.3950040990,-0.4645993209,-0.1610421483,1.0639213270
53,0.4271249790,-0.3873471886,0.1756133234,-0.1139290700,0.0916669936,0.9727237588,-0.4766653558,-0.3943803880,-0.2301232464,1.0476260800
54,0.1445532192,-0.1134573022,0.0198839661,-0.1651143703,-0.0045784046,0.5014609048,-0.3856469234,-0.3566769153,-0.1911684986,0.6824035392
55,0.3727247404,-0.2567994932,0.1793547711,-0.0762954244,0.0541520092,0.6854366785,-0.3520767042,-0.3213585123,-0.1266975642,0.7783466297
56,0.2149208798,-0.2275514486,0.1087097543,-0.1395801577,0.0394216841,0.5776711690,-0.2526951958,-0.2429754991,-0.3016588047,0.7092982663
57,0.5861927224,-0.3864094687,0.0983311208,-0.2074033104,0.1000937360,1.0881533506,-0.2932498536,-0.5005091050,-0.1676409184,1.2588632109
58,0.1949084289,-0.0612861662,0.0626668086,-0.3176770924,0.0408338622,0.6474074719,-0.3814914716,-0.1007442124,-0.2003435857,0.5868003958
59,-0.0038697438,-0.1222822662,0.0834938850,-0.0796956722,0.0089647198,0.6021692764,-0.5409040229,-0.3786433171,-0.2378365906,0.4651907779
60,0.6956805155,-0.3827177568,0.1567160081,-0.0720951764,0.1290243650,1.2060102063,-0.4396608091,-0.4946429872,-0.1971794321,1.3839151989
61,0.5587518036,-0.1539288569,0.2901573880,-0.0142172816,0.1111838226,0.9978247220,-0.1964644510,-0.2641727318,-0.1612243565,1.1197429751
62,0.4301609326,-0.2867372837,-0.1351511234,-0.2626122548,0.0696829894,0.8894048427,-0.6767611868,-0.3492343790,-0.0389128874,1.2800922631
63,0.3711249365,-0.0961735041,0.2219923081,0.0355210887,0.1004361791,0.8273310333,-0.2123000440,-0.2449547418,-0.1085019746,0.9577027187
64,0.2479525183,-0.3114687832,0.1309042070,-0.2028723831,0.0273551712,0.7008506202,-0.2882189554,-0.3633860222,-0.0867815159,0.7962678573
65,0.5117221134,-0.2758799848,0.2455126989,-0.0942897136,0.1048870575,0.9341571290,-0.3117704657,-0.3196601516,-0.1635076517,1.2171174972
66,0.5396383246,-0.2437206603,0.1844987185,-0.1259960171,0.0681408608,0.6894793772,-0.2567115596,-0.3409936448,-0.0882829005,0.7267500015
